"Date","Price","Open","High","Low","Vol.","Change %"
"03/11/2024","501.49","501.66","502.07","499.82","329.82M","-0.35%"
"03/08/2024","503.26","503.45","504.60","502.75","326.53M","0.02%"
"03/07/2024","503.16","496.89","503.81","496.16","479.24M","0.99%"
"03/06/2024","498.21","495.92","498.99","495.81","276.05M","0.39%"
"03/05/2024","496.27","497.13","497.46","495.18","198.43M","-0.23%"
"03/04/2024","497.41","498.50","498.50","496.03","205.23M","-0.03%"
"03/01/2024","497.58","495.08","497.88","495.08","264.22M","0.60%"
"02/29/2024","494.61","494.99","496.63","494.61","408.11M","0.00%"
"02/28/2024","494.59","496.22","496.31","494.17","234.20M","-0.35%"
"02/27/2024","496.33","495.63","496.66","494.49","217.73M","0.18%"
"02/26/2024","495.43","496.70","496.75","495.18","218.74M","-0.37%"
"02/23/2024","497.25","495.64","497.74","495.10","213.84M","0.43%"
"02/22/2024","495.10","493.44","496.30","493.44","259.34M","0.82%"
"02/21/2024","491.05","491.54","491.64","489.94","228.98M","-0.17%"
"02/20/2024","491.90","491.88","492.78","490.74","184.54M","-0.10%"
"02/19/2024","492.39","491.03","492.63","490.58","165.32M","0.16%"
"02/16/2024","491.59","489.59","492.01","489.59","222.72M","0.62%"
"02/15/2024","488.54","485.83","488.86","485.83","205.60M","0.68%"
"02/14/2024","485.24","482.69","485.84","482.69","222.67M","0.50%"
"02/13/2024","482.83","487.35","487.35","481.29","223.19M","-0.95%"
"02/12/2024","487.46","485.52","487.56","485.52","177.42M","0.54%"
"02/09/2024","484.83","485.52","486.16","483.53","214.92M","-0.09%"
"02/08/2024","485.27","485.51","487.24","485.16","179.22M","-0.07%"
"02/07/2024","485.63","486.92","487.54","485.28","224.14M","-0.23%"
"02/06/2024","486.76","484.94","487.17","483.63","271.10M","0.63%"
"02/05/2024","483.69","484.14","485.66","482.77","261.68M","-0.05%"
"02/02/2024","483.93","485.07","487.66","483.72","207.45M","0.01%"
"02/01/2024","483.86","485.41","485.83","483.06","230.43M","-0.37%"
"01/31/2024","485.67","486.72","487.45","485.36","234.41M","0.01%"
"01/30/2024","485.63","485.61","486.73","485.02","180.34M","0.16%"
"01/29/2024","484.84","484.46","484.85","483.33","167.44M","0.21%"
"01/26/2024","483.84","478.45","484.49","478.45","212.65M","1.11%"
"01/25/2024","478.53","477.10","478.64","474.90","180.49M","0.30%"
"01/24/2024","477.09","472.64","477.40","472.64","198.91M","1.18%"
"01/23/2024","471.53","473.62","474.44","470.96","215.50M","-0.28%"
"01/22/2024","472.86","469.95","473.42","469.95","170.68M","0.77%"
"01/19/2024","469.24","471.24","472.88","468.34","228.29M","-0.26%"
"01/18/2024","470.45","468.22","470.85","467.43","192.38M","0.59%"
"01/17/2024","467.71","470.38","470.38","464.99","201.41M","-1.13%"
"01/16/2024","473.06","472.67","473.38","470.22","218.47M","-0.24%"
"01/15/2024","474.19","476.88","477.63","473.66","153.14M","-0.54%"
"01/12/2024","476.76","473.92","478.18","473.92","181.28M","0.84%"
"01/11/2024","472.77","477.62","480.04","472.72","237.11M","-0.77%"
"01/10/2024","476.42","476.77","477.78","475.74","170.75M","-0.18%"
"01/09/2024","477.26","478.68","478.83","475.68","176.76M","-0.19%"
"01/08/2024","478.18","475.78","478.18","472.94","189.51M","0.38%"
"01/05/2024","476.38","476.46","477.18","472.24","165.26M","-0.27%"
"01/04/2024","477.68","475.34","477.82","474.21","200.68M","0.69%"
"01/03/2024","474.40","478.17","479.44","472.88","202.52M","-0.86%"
"01/02/2024","478.51","479.69","482.21","476.28","169.92M","-0.11%"
"12/29/2023","479.02","478.28","479.86","478.28","88.07M","0.20%"
"12/28/2023","478.08","479.75","480.43","477.72","95.19M","-0.11%"
"12/27/2023","478.62","477.43","479.72","477.43","119.34M","0.21%"
"12/22/2023","477.60","476.63","478.04","476.07","125.60M","0.14%"
"12/21/2023","476.94","476.93","477.22","475.10","156.30M","-0.21%"
"12/20/2023","477.94","477.48","479.39","476.05","244.24M","0.19%"
"12/19/2023","477.04","475.47","477.38","475.35","207.09M","0.36%"
"12/18/2023","475.32","475.78","476.79","474.40","185.04M","-0.27%"
"12/15/2023","476.61","477.04","479.21","475.72","415.76M","0.01%"
"12/14/2023","476.57","474.80","480.64","474.19","336.50M","0.87%"
"12/13/2023","472.46","472.63","474.52","472.46","213.74M","-0.06%"
"12/12/2023","472.72","473.35","474.75","471.87","184.04M","-0.21%"
"12/11/2023","473.70","472.52","474.14","471.16","172.96M","0.30%"
"12/08/2023","472.26","468.96","473.19","468.96","181.94M","0.74%"
"12/07/2023","468.78","469.63","469.63","467.69","185.37M","-0.27%"
"12/06/2023","470.06","468.46","471.29","467.90","252.29M","0.52%"
"12/05/2023","467.62","465.43","467.98","464.85","172.29M","0.40%"
"12/04/2023","465.78","465.46","467.16","464.97","171.70M","-0.09%"
"12/01/2023","466.20","461.90","466.24","461.90","141.41M","0.99%"
"11/30/2023","461.61","459.70","462.06","458.38","355.88M","0.55%"
"11/29/2023","459.10","456.78","459.95","456.69","163.46M","0.45%"
"11/28/2023","457.04","457.72","457.72","455.08","142.65M","-0.30%"
"11/27/2023","458.41","459.63","460.15","458.30","121.18M","-0.34%"
"11/24/2023","459.98","458.18","460.20","457.81","115.78M","0.33%"
"11/23/2023","458.47","457.58","458.73","457.10","121.88M","0.27%"
"11/22/2023","457.24","456.10","458.31","456.10","141.43M","0.30%"
"11/21/2023","455.85","456.18","456.66","455.08","144.53M","-0.09%"
"11/20/2023","456.26","455.68","456.59","455.01","137.18M","0.10%"
"11/17/2023","455.82","452.04","456.63","452.04","192.58M","1.01%"
"11/16/2023","451.27","453.65","454.43","451.27","182.83M","-0.72%"
"11/15/2023","454.52","453.08","456.53","453.08","189.79M","0.42%"
"11/14/2023","452.60","446.96","453.36","446.38","218.54M","1.34%"
"11/13/2023","446.62","444.84","447.07","444.68","163.55M","0.75%"
"11/10/2023","443.31","446.64","446.64","441.13","171.42M","-1.00%"
"11/09/2023","447.80","443.87","448.16","442.83","170.98M","0.84%"
"11/08/2023","444.07","442.06","446.22","441.02","172.23M","0.28%"
"11/07/2023","442.81","442.57","444.00","441.88","147.01M","-0.16%"
"11/06/2023","443.52","444.80","445.61","442.96","200.48M","-0.16%"
"11/03/2023","444.24","443.95","445.89","443.53","180.97M","0.17%"
"11/02/2023","443.47","437.95","444.96","437.95","213.50M","1.58%"
"11/01/2023","436.57","434.71","437.84","433.33","169.28M","0.67%"
"10/31/2023","433.66","431.32","434.54","431.32","187.00M","0.59%"
"10/30/2023","431.12","430.39","433.23","430.39","193.35M","0.36%"
"10/27/2023","429.58","432.72","434.33","428.84","158.14M","-0.84%"
"10/26/2023","433.20","434.34","434.61","430.19","197.60M","-0.48%"
"10/25/2023","435.27","434.91","435.96","432.20","188.49M","0.04%"
"10/24/2023","435.09","433.43","435.88","431.51","164.04M","0.44%"
"10/23/2023","433.18","433.77","434.54","429.66","150.10M","-0.13%"
"10/20/2023","433.73","438.73","438.73","433.73","209.01M","-1.36%"
"10/19/2023","439.73","444.27","444.27","439.35","179.91M","-1.19%"
"10/18/2023","445.02","449.58","449.87","444.60","168.88M","-1.05%"
"10/17/2023","449.76","450.00","451.73","446.91","178.76M","-0.10%"
"10/16/2023","450.20","449.53","451.44","447.40","198.90M","0.23%"
"10/13/2023","449.18","453.32","453.41","448.95","169.20M","-0.98%"
"10/12/2023","453.63","453.70","457.02","453.53","164.00M","0.10%"
"10/11/2023","453.16","452.84","454.55","451.17","158.60M","0.15%"
"10/10/2023","452.48","444.59","452.74","444.59","177.48M","1.96%"
"10/09/2023","443.79","444.84","446.02","442.15","169.57M","-0.26%"
"10/06/2023","444.93","442.12","444.95","440.46","185.96M","0.82%"
"10/05/2023","441.31","440.82","443.47","439.87","155.94M","0.28%"
"10/04/2023","440.08","439.72","443.45","438.08","213.75M","-0.14%"
"10/03/2023","440.70","444.89","446.36","440.40","154.06M","-1.10%"
"10/02/2023","445.59","450.82","452.51","444.11","155.84M","-1.03%"
"09/29/2023","450.22","449.76","454.03","449.76","171.04M","0.38%"
"09/28/2023","448.50","447.01","448.54","444.38","168.41M","0.36%"
"09/27/2023","446.91","447.61","449.52","446.14","160.08M","-0.18%"
"09/26/2023","447.70","449.94","449.94","446.49","149.10M","-0.61%"
"09/25/2023","450.44","452.72","453.86","447.90","150.82M","-0.62%"
"09/22/2023","453.26","454.02","454.73","451.54","199.96M","-0.31%"
"09/21/2023","454.67","459.96","459.96","454.48","200.04M","-1.30%"
"09/20/2023","460.66","456.36","461.54","456.36","195.63M","0.91%"
"09/19/2023","456.52","456.43","457.98","455.41","152.77M","-0.04%"
"09/18/2023","456.72","461.44","461.44","455.96","132.67M","-1.13%"
"09/15/2023","461.93","461.65","465.32","461.63","408.77M","0.23%"
"09/14/2023","460.86","454.05","461.35","453.43","200.87M","1.52%"
"09/13/2023","453.94","454.46","454.71","451.10","159.52M","-0.32%"
"09/12/2023","455.40","456.59","457.43","454.88","155.71M","-0.18%"
"09/11/2023","456.21","454.97","458.81","454.97","141.46M","0.34%"
"09/08/2023","454.66","454.17","455.44","450.61","148.42M","0.22%"
"09/07/2023","453.67","453.88","455.44","452.05","137.25M","-0.14%"
"09/06/2023","454.30","456.36","456.36","453.01","147.51M","-0.57%"
"09/05/2023","456.90","457.44","458.68","454.12","129.66M","-0.23%"
"09/04/2023","457.96","458.79","462.18","457.59","123.79M","-0.04%"
"09/01/2023","458.13","458.31","460.50","457.71","159.67M","-0.01%"
"08/31/2023","458.19","459.00","461.31","458.19","270.10M","-0.20%"
"08/30/2023","459.13","459.78","461.27","457.76","139.21M","-0.15%"
"08/29/2023","459.83","456.17","460.13","456.17","217.52M","0.97%"
"08/28/2023","455.41","452.07","455.85","452.07","66.61M","0.89%"
"08/25/2023","451.39","451.19","454.56","450.61","98.30M","-0.04%"
"08/24/2023","451.57","454.13","458.02","451.38","108.04M","-0.41%"
"08/23/2023","453.45","451.98","455.09","451.98","158.39M","0.39%"
"08/22/2023","451.70","449.21","454.12","449.21","141.27M","0.68%"
"08/21/2023","448.66","448.54","452.38","448.42","118.46M","0.05%"
"08/18/2023","448.44","450.49","450.49","445.50","135.28M","-0.61%"
"08/17/2023","451.19","454.89","454.89","451.03","124.62M","-0.90%"
"08/16/2023","455.29","455.35","456.70","453.98","138.76M","-0.06%"
"08/15/2023","455.57","460.21","460.32","454.21","118.53M","-0.93%"
"08/14/2023","459.86","459.04","460.51","457.82","192.56M","0.15%"
"08/11/2023","459.17","463.52","463.52","458.00","148.88M","-1.09%"
"08/10/2023","464.23","460.19","465.76","460.19","178.85M","0.79%"
"08/09/2023","460.58","459.15","463.38","459.15","215.74M","0.43%"
"08/08/2023","458.60","459.21","459.71","455.94","218.82M","-0.23%"
"08/07/2023","459.68","459.25","460.01","456.67","116.66M","0.09%"
"08/04/2023","459.28","458.01","459.70","455.66","145.17M","0.29%"
"08/03/2023","457.93","460.34","460.34","455.60","235.75M","-0.63%"
"08/02/2023","460.84","466.19","466.19","458.91","182.77M","-1.35%"
"08/01/2023","467.16","470.95","471.19","467.07","152.82M","-0.89%"
"07/31/2023","471.35","470.87","472.27","469.98","157.59M","0.12%"
"07/28/2023","470.78","470.96","471.60","469.54","181.98M","-0.20%"
"07/27/2023","471.74","465.68","472.69","465.68","217.78M","1.35%"
"07/26/2023","465.46","468.14","468.14","462.29","179.28M","-0.53%"
"07/25/2023","467.92","465.66","468.28","465.08","119.14M","0.48%"
"07/24/2023","465.68","465.00","466.24","463.71","128.30M","0.06%"
"07/21/2023","465.40","464.07","465.40","463.27","138.37M","0.32%"
"07/20/2023","463.93","461.81","464.17","460.93","156.47M","0.42%"
"07/19/2023","461.97","460.41","463.58","460.41","184.16M","0.26%"
"07/18/2023","460.76","457.86","461.15","457.54","126.72M","0.62%"
"07/17/2023","457.92","460.20","460.20","457.42","111.35M","-0.63%"
"07/14/2023","460.83","460.53","462.46","460.24","151.74M","-0.11%"
"07/13/2023","461.36","458.71","462.61","458.71","146.64M","0.61%"
"07/12/2023","458.54","451.92","458.92","451.92","205.57M","1.51%"
"07/11/2023","451.72","449.17","452.30","448.81","154.51M","0.72%"
"07/10/2023","448.47","447.30","449.64","446.05","109.74M","0.18%"
"07/07/2023","447.65","447.41","449.63","444.91","132.14M","0.10%"
"07/06/2023","447.22","457.63","457.63","446.41","183.72M","-2.34%"
"07/05/2023","457.94","460.82","460.82","457.27","160.39M","-0.73%"
"07/04/2023","461.30","461.07","462.30","461.06","140.09M","0.07%"
"07/03/2023","460.98","461.89","463.94","460.85","141.83M","-0.21%"
"06/30/2023","461.93","457.11","462.77","456.95","185.98M","1.16%"
"06/29/2023","456.64","456.15","457.56","455.60","147.30M","0.13%"
"06/28/2023","456.05","453.45","456.39","453.45","167.91M","0.70%"
"06/27/2023","452.90","452.91","454.78","450.51","155.08M","0.05%"
"06/26/2023","452.68","453.15","453.75","450.16","178.98M","-0.10%"
"06/23/2023","453.14","453.89","455.22","451.80","162.98M","-0.34%"
"06/22/2023","454.70","454.66","454.70","450.94","173.65M","-0.51%"
"06/21/2023","457.01","459.37","459.42","456.61","150.11M","-0.50%"
"06/20/2023","459.32","461.65","461.91","459.25","146.67M","-0.59%"
"06/19/2023","462.04","466.43","466.43","461.57","127.33M","-1.02%"
"06/16/2023","466.80","464.66","468.25","464.66","438.93M","0.53%"
"06/15/2023","464.33","464.43","464.46","461.12","185.66M","-0.13%"
"06/14/2023","464.94","463.52","466.35","463.11","197.71M","0.36%"
"06/13/2023","463.27","460.91","463.75","460.49","198.43M","0.55%"
"06/12/2023","460.73","460.29","462.87","460.29","153.41M","0.16%"
"06/09/2023","460.01","461.08","461.84","458.58","143.62M","-0.15%"
"06/08/2023","460.70","460.00","461.38","459.68","153.57M","-0.02%"
"06/07/2023","460.80","461.92","462.52","460.40","165.94M","-0.19%"
"06/06/2023","461.68","460.36","462.11","459.27","173.68M","0.38%"
"06/05/2023","459.93","461.80","463.21","459.56","160.64M","-0.48%"
"06/02/2023","462.15","455.38","462.36","455.38","194.31M","1.51%"
"06/01/2023","455.27","452.43","456.18","452.43","201.95M","0.78%"
"05/31/2023","451.76","456.17","456.20","451.25","553.88M","-1.07%"
"05/30/2023","456.63","460.75","461.72","456.26","181.35M","-0.92%"
"05/29/2023","460.87","461.60","462.72","460.58","59.96M","-0.12%"
"05/26/2023","461.41","456.56","462.37","455.85","187.40M","1.15%"
"05/25/2023","456.18","457.95","458.72","456.13","177.59M","-0.32%"
"05/24/2023","457.65","465.76","465.76","456.10","217.91M","-1.81%"
"05/23/2023","466.10","468.60","468.60","466.06","153.56M","-0.60%"
"05/22/2023","468.91","468.65","469.84","467.84","212.20M","0.01%"
"05/19/2023","468.85","466.18","470.45","466.18","176.85M","0.66%"
"05/18/2023","465.79","463.74","467.14","463.74","165.81M","0.39%"
"05/17/2023","463.98","464.26","465.16","462.21","162.78M","-0.15%"
"05/16/2023","464.70","466.07","467.14","464.03","213.46M","-0.42%"
"05/15/2023","466.67","465.39","467.57","465.35","157.78M","0.25%"
"05/12/2023","465.49","463.52","467.05","463.52","167.46M","0.40%"
"05/11/2023","463.62","463.21","466.83","461.20","209.07M","0.00%"
"05/10/2023","463.64","465.44","466.03","462.40","207.81M","-0.38%"
"05/09/2023","465.41","466.99","466.99","462.98","207.86M","-0.33%"
"05/08/2023","466.94","465.50","467.30","465.29","84.80M","0.35%"
"05/05/2023","465.31","460.19","465.34","460.19","179.94M","1.08%"
"05/04/2023","460.34","459.98","461.38","458.00","197.07M","-0.47%"
"05/03/2023","462.51","461.76","463.58","461.76","210.72M","0.31%"
"05/02/2023","461.08","466.52","467.83","460.85","219.18M","-1.24%"
"05/01/2023","466.89","467.00","467.08","466.50","233.46M","0.05%"
"04/28/2023","466.64","464.14","466.64","461.40","234.54M","0.56%"
"04/27/2023","464.03","462.79","464.99","462.24","181.13M","0.18%"
"04/26/2023","463.21","466.39","466.39","461.21","218.97M","-0.83%"
"04/25/2023","467.08","468.32","468.32","465.97","177.79M","-0.40%"
"04/24/2023","468.97","468.33","469.64","467.33","162.76M","-0.01%"
"04/21/2023","469.00","467.38","469.00","465.82","208.30M","0.34%"
"04/20/2023","467.43","467.71","467.86","466.04","209.74M","-0.15%"
"04/19/2023","468.13","468.71","468.71","466.51","184.78M","-0.10%"
"04/18/2023","468.62","466.77","469.81","466.77","155.87M","0.38%"
"04/17/2023","466.84","467.33","468.95","466.55","166.95M","-0.01%"
"04/14/2023","466.91","464.31","468.05","464.31","194.56M","0.58%"
"04/13/2023","464.21","462.78","464.54","462.75","175.37M","0.40%"
"04/12/2023","462.38","461.52","465.62","461.48","188.10M","0.13%"
"04/11/2023","461.79","459.40","462.73","459.40","202.26M","0.62%"
"04/07/2023","458.94","458.94","458.94","458.94","","0.00%"
"04/06/2023","458.94","456.39","459.30","456.39","151.18M","0.51%"
"04/05/2023","456.59","457.15","457.72","455.56","175.92M","-0.16%"
"04/04/2023","457.34","458.02","460.90","457.17","179.75M","-0.08%"
"04/03/2023","457.72","457.83","459.05","457.10","196.21M","-0.03%"
"03/31/2023","457.84","455.14","458.71","454.51","218.38M","0.66%"
"03/30/2023","454.84","450.48","455.55","450.48","196.01M","1.03%"
"03/29/2023","450.21","444.69","450.24","444.69","179.36M","1.30%"
"03/28/2023","444.45","445.34","448.17","443.41","224.63M","-0.06%"
"03/27/2023","444.72","440.82","446.26","440.82","152.46M","1.05%"
"03/24/2023","440.11","445.37","445.37","437.08","256.87M","-1.37%"
"03/23/2023","446.22","446.01","447.03","442.51","235.13M","-0.21%"
"03/22/2023","447.16","446.89","448.88","445.66","208.08M","0.15%"
"03/21/2023","446.47","441.85","448.57","441.85","227.37M","1.33%"
"03/20/2023","440.60","435.05","442.32","427.77","329.12M","0.98%"
"03/17/2023","436.31","443.14","446.91","434.62","522.61M","-1.21%"
"03/16/2023","441.64","437.48","442.74","433.94","324.56M","1.19%"
"03/15/2023","436.45","449.19","449.19","435.73","381.28M","-2.92%"
"03/14/2023","449.56","443.48","450.27","441.61","247.11M","1.53%"
"03/13/2023","442.80","453.38","453.38","440.29","351.23M","-2.42%"
"03/10/2023","453.76","457.55","457.55","451.20","247.53M","-1.35%"
"03/09/2023","459.98","460.36","461.00","457.59","186.00M","-0.22%"
"03/08/2023","460.99","459.84","461.53","458.96","177.42M","0.08%"
"03/07/2023","460.60","464.14","465.64","460.51","198.44M","-0.77%"
"03/06/2023","464.18","465.13","465.95","462.89","174.88M","-0.02%"
"03/03/2023","464.26","461.11","464.57","461.11","174.27M","0.92%"
"03/02/2023","460.02","456.58","460.20","454.60","192.85M","0.51%"
"03/01/2023","457.68","460.53","462.74","457.02","238.49M","-0.74%"
"02/28/2023","461.11","461.67","463.41","460.06","295.31M","-0.32%"
"02/27/2023","462.58","458.44","464.22","458.44","179.14M","1.07%"
"02/24/2023","457.70","462.94","464.60","457.42","228.05M","-1.04%"
"02/23/2023","462.50","462.35","464.94","462.35","211.83M","0.06%"
"02/22/2023","462.22","463.34","463.34","458.97","199.43M","-0.33%"
"02/21/2023","463.77","464.18","464.80","459.86","203.53M","-0.19%"
"02/20/2023","464.64","465.15","465.76","463.56","168.22M","0.07%"
"02/17/2023","464.30","463.44","465.40","459.55","269.66M","-0.20%"
"02/16/2023","465.24","465.55","467.86","462.55","204.13M","0.19%"
"02/15/2023","464.36","461.36","464.87","460.64","198.30M","0.42%"
"02/14/2023","462.40","462.52","466.11","461.56","184.99M","0.08%"
"02/13/2023","462.03","458.23","462.11","458.23","155.36M","0.90%"
"02/10/2023","457.89","460.96","460.96","455.22","218.78M","-0.96%"
"02/09/2023","462.31","460.90","464.81","460.90","252.93M","0.62%"
"02/08/2023","459.46","459.54","462.76","459.41","196.57M","0.28%"
"02/07/2023","458.19","457.80","458.74","456.70","208.19M","0.23%"
"02/06/2023","457.16","460.15","460.15","455.24","195.25M","-0.78%"
"02/03/2023","460.77","457.86","460.77","456.52","226.72M","0.34%"
"02/02/2023","459.20","453.63","459.39","453.63","288.48M","1.35%"
"02/01/2023","453.09","453.72","455.47","452.16","230.65M","-0.03%"
"01/31/2023","453.21","453.82","453.98","449.73","229.66M","-0.26%"
"01/30/2023","454.40","453.96","454.76","451.27","236.53M","-0.17%"
"01/27/2023","455.17","454.15","455.52","453.06","177.71M","0.26%"
"01/26/2023","453.98","453.24","455.52","453.24","210.78M","0.42%"
"01/25/2023","452.07","453.18","453.42","449.78","166.00M","-0.29%"
"01/24/2023","453.38","455.09","455.98","451.81","171.26M","-0.24%"
"01/23/2023","454.49","451.86","454.92","451.86","150.17M","0.52%"
"01/20/2023","452.12","450.68","452.49","450.49","191.05M","0.37%"
"01/19/2023","450.45","455.58","455.58","449.93","206.25M","-1.55%"
"01/18/2023","457.53","456.51","459.30","456.51","208.45M","0.23%"
"01/17/2023","456.46","454.41","457.44","453.29","224.16M","0.40%"
"01/16/2023","454.63","453.20","454.82","452.67","160.33M","0.46%"
"01/13/2023","452.54","450.20","453.24","450.20","182.40M","0.52%"
"01/12/2023","450.22","447.79","451.77","447.79","210.10M","0.63%"
"01/11/2023","447.41","445.84","448.86","445.70","225.48M","0.38%"
"01/10/2023","445.71","446.63","446.63","444.50","195.82M","-0.59%"
"01/09/2023","448.35","445.39","449.08","445.39","215.29M","0.88%"
"01/06/2023","444.42","439.75","444.42","438.87","176.93M","1.16%"
"01/05/2023","439.33","439.42","440.98","438.26","182.94M","-0.20%"
"01/04/2023","440.19","435.05","440.34","435.05","213.06M","1.38%"
"01/03/2023","434.18","430.01","436.88","430.01","198.50M","1.22%"
"01/02/2023","428.95","425.90","429.49","425.90","57.40M","0.96%"
"12/30/2022","424.89","430.02","430.02","424.84","87.46M","-1.27%"
"12/29/2022","430.35","426.84","430.48","425.10","98.91M","0.68%"
"12/28/2022","427.46","428.53","430.51","427.22","99.51M","-0.13%"
"12/27/2022","428.00","428.28","429.97","427.78","48.80M","0.13%"
"12/23/2022","427.45","427.31","429.42","426.12","83.40M","0.04%"
"12/22/2022","427.26","431.42","433.51","426.80","118.34M","-0.97%"
"12/21/2022","431.44","425.33","431.46","425.33","149.09M","1.71%"
"12/20/2022","424.18","424.12","425.51","421.56","185.55M","-0.40%"
"12/19/2022","425.87","425.38","427.75","425.38","141.44M","0.27%"
"12/16/2022","424.74","429.31","429.89","423.41","447.21M","-1.20%"
"12/15/2022","429.91","440.15","440.15","429.50","211.06M","-2.85%"
"12/14/2022","442.51","441.79","442.67","439.53","181.90M","-0.02%"
"12/13/2022","442.60","437.29","447.11","436.47","202.45M","1.29%"
"12/12/2022","436.98","437.88","438.00","435.67","151.52M","-0.49%"
"12/09/2022","439.13","436.38","439.31","434.94","181.48M","0.84%"
"12/08/2022","435.47","436.14","436.51","434.12","148.45M","-0.17%"
"12/07/2022","436.20","438.03","438.74","435.39","171.42M","-0.62%"
"12/06/2022","438.92","440.94","441.49","437.52","195.38M","-0.58%"
"12/05/2022","441.47","442.94","443.36","440.93","140.02M","-0.41%"
"12/02/2022","443.29","442.81","444.45","439.43","169.89M","-0.15%"
"12/01/2022","443.96","441.56","445.05","441.56","216.05M","0.89%"
"11/30/2022","440.04","438.01","441.13","438.01","384.80M","0.63%"
"11/29/2022","437.29","438.76","440.16","437.02","174.35M","-0.13%"
"11/28/2022","437.85","439.54","439.83","436.50","167.14M","-0.65%"
"11/25/2022","440.73","440.31","441.60","439.67","134.21M","-0.02%"
"11/24/2022","440.84","438.40","441.62","438.25","134.09M","0.46%"
"11/23/2022","438.82","436.37","439.19","435.56","185.29M","0.60%"
"11/22/2022","436.22","433.39","436.91","432.88","160.08M","0.73%"
"11/21/2022","433.06","432.85","434.38","431.90","166.29M","-0.06%"
"11/18/2022","433.33","430.03","433.84","429.82","211.86M","1.16%"
"11/17/2022","428.38","430.78","432.45","425.70","175.80M","-0.42%"
"11/16/2022","430.17","433.85","434.40","429.55","193.48M","-0.98%"
"11/15/2022","434.44","433.03","436.41","432.23","218.42M","0.37%"
"11/14/2022","432.86","432.68","435.65","432.38","180.94M","0.14%"
"11/11/2022","432.26","433.39","435.22","431.51","252.10M","0.09%"
"11/10/2022","431.89","419.26","432.49","418.55","259.44M","2.75%"
"11/09/2022","420.34","420.84","421.34","418.05","166.97M","-0.30%"
"11/08/2022","421.61","417.61","421.96","416.35","226.90M","0.78%"
"11/07/2022","418.34","416.25","419.74","414.68","208.13M","0.33%"
"11/04/2022","416.98","410.91","419.44","410.91","240.36M","1.81%"
"11/03/2022","409.55","411.20","411.20","405.95","186.87M","-0.93%"
"11/02/2022","413.39","415.29","416.83","413.11","191.93M","-0.29%"
"11/01/2022","414.61","413.31","418.42","413.31","209.20M","0.58%"
"10/31/2022","412.20","411.30","413.16","409.88","197.59M","0.35%"
"10/28/2022","410.76","408.56","410.92","405.67","178.32M","0.14%"
"10/27/2022","410.19","409.63","411.41","406.46","232.91M","-0.03%"
"10/26/2022","410.31","407.56","410.33","405.31","235.91M","0.66%"
"10/25/2022","407.61","402.84","407.66","401.20","182.09M","1.44%"
"10/24/2022","401.84","398.46","404.32","397.28","176.79M","1.40%"
"10/21/2022","396.29","397.22","397.69","391.10","197.92M","-0.62%"
"10/20/2022","398.77","396.98","400.03","394.86","216.59M","0.26%"
"10/19/2022","397.73","399.90","400.91","397.26","170.33M","-0.53%"
"10/18/2022","399.84","398.36","404.08","398.36","224.74M","0.34%"
"10/17/2022","398.48","391.80","400.08","390.43","197.40M","1.83%"
"10/14/2022","391.31","390.87","397.95","390.80","214.34M","0.56%"
"10/13/2022","389.15","385.11","389.94","379.72","249.57M","0.85%"
"10/12/2022","385.88","387.26","389.70","384.08","207.43M","-0.53%"
"10/11/2022","387.95","389.19","389.64","384.79","193.21M","-0.56%"
"10/10/2022","390.12","391.02","393.23","388.24","191.19M","-0.40%"
"10/07/2022","391.67","395.70","397.46","391.36","178.93M","-1.18%"
"10/06/2022","396.35","400.10","402.12","395.13","203.26M","-0.64%"
"10/05/2022","398.91","402.91","402.91","397.28","190.58M","-1.02%"
"10/04/2022","403.03","392.80","403.03","392.80","243.12M","3.12%"
"10/03/2022","390.83","386.43","391.31","381.54","242.70M","0.77%"
"09/30/2022","387.85","383.70","388.45","383.70","259.05M","1.30%"
"09/29/2022","382.89","388.90","388.90","380.04","253.09M","-1.67%"
"09/28/2022","389.41","386.92","389.70","380.72","309.10M","0.30%"
"09/27/2022","388.24","389.32","393.70","388.24","259.91M","-0.13%"
"09/26/2022","388.75","388.64","391.71","385.61","241.22M","-0.42%"
"09/23/2022","390.40","399.69","399.70","388.40","240.25M","-2.34%"
"09/22/2022","399.76","405.40","406.19","399.55","205.64M","-1.79%"
"09/21/2022","407.05","403.80","407.15","401.72","258.14M","0.90%"
"09/20/2022","403.42","408.28","411.77","402.85","232.93M","-1.09%"
"09/19/2022","407.87","408.35","409.15","404.08","90.97M","-0.09%"
"09/16/2022","408.24","412.83","412.83","407.98","515.57M","-1.58%"
"09/15/2022","414.78","417.28","419.71","414.04","214.89M","-0.65%"
"09/14/2022","417.51","420.65","420.75","415.77","223.43M","-0.86%"
"09/13/2022","421.13","427.93","430.47","421.13","204.85M","-1.55%"
"09/12/2022","427.75","420.36","428.53","420.36","207.69M","1.76%"
"09/09/2022","420.37","414.19","421.64","414.19","194.04M","1.52%"
"09/08/2022","414.09","412.95","414.79","408.25","204.86M","0.50%"
"09/07/2022","412.01","413.22","413.22","409.52","232.72M","-0.57%"
"09/06/2022","414.38","413.24","416.87","411.74","173.75M","0.24%"
"09/05/2022","413.39","415.20","415.20","408.10","159.03M","-0.62%"
"09/02/2022","415.97","408.89","416.17","408.89","186.42M","2.04%"
"09/01/2022","407.66","414.47","414.47","407.09","176.90M","-1.80%"
"08/31/2022","415.12","420.48","421.51","415.12","263.72M","-1.12%"
